,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
0,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2024,319825435256.189,Aggregates,Aggregates,Aggregates,,
1,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2023,308446174490.985,Aggregates,Aggregates,Aggregates,,
2,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2022,333484637191.804,Aggregates,Aggregates,Aggregates,,
3,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2021,288027736159.846,Aggregates,Aggregates,Aggregates,,
4,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2020,209516974576.598,Aggregates,Aggregates,Aggregates,,
5,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2019,245595833663.934,Aggregates,Aggregates,Aggregates,,
6,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2018,258813628122.367,Aggregates,Aggregates,Aggregates,,
7,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2017,232936713385.777,Aggregates,Aggregates,Aggregates,,
8,ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2016,197130248081.966,Aggregates,Aggregates,Aggregates,,
9,ZI,Africa Western and Central,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
10,ZI,Africa Western and Central,Exports of goods and services (current US$),2023,,Aggregates,Aggregates,Aggregates,,
11,ZI,Africa Western and Central,Exports of goods and services (current US$),2022,,Aggregates,Aggregates,Aggregates,,
12,ZI,Africa Western and Central,Exports of goods and services (current US$),2021,,Aggregates,Aggregates,Aggregates,,
13,ZI,Africa Western and Central,Exports of goods and services (current US$),2020,,Aggregates,Aggregates,Aggregates,,
14,ZI,Africa Western and Central,Exports of goods and services (current US$),2019,,Aggregates,Aggregates,Aggregates,,
15,ZI,Africa Western and Central,Exports of goods and services (current US$),2018,,Aggregates,Aggregates,Aggregates,,
16,ZI,Africa Western and Central,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,Aggregates,,
17,ZI,Africa Western and Central,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,Aggregates,,
18,1A,Arab World,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
19,1A,Arab World,Exports of goods and services (current US$),2023,1695255372658.71,Aggregates,Aggregates,Aggregates,,
20,1A,Arab World,Exports of goods and services (current US$),2022,1792850543608.38,Aggregates,Aggregates,Aggregates,,
21,1A,Arab World,Exports of goods and services (current US$),2021,1280418222799.26,Aggregates,Aggregates,Aggregates,,
22,1A,Arab World,Exports of goods and services (current US$),2020,931628564702.073,Aggregates,Aggregates,Aggregates,,
23,1A,Arab World,Exports of goods and services (current US$),2019,1250081044909.76,Aggregates,Aggregates,Aggregates,,
24,1A,Arab World,Exports of goods and services (current US$),2018,1297103254480.05,Aggregates,Aggregates,Aggregates,,
25,1A,Arab World,Exports of goods and services (current US$),2017,1091141483975.71,Aggregates,Aggregates,Aggregates,,
26,1A,Arab World,Exports of goods and services (current US$),2016,953670218808.409,Aggregates,Aggregates,Aggregates,,
27,S3,Caribbean small states,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
28,S3,Caribbean small states,Exports of goods and services (current US$),2023,,Aggregates,Aggregates,Aggregates,,
29,S3,Caribbean small states,Exports of goods and services (current US$),2022,,Aggregates,Aggregates,Aggregates,,
30,S3,Caribbean small states,Exports of goods and services (current US$),2021,,Aggregates,Aggregates,Aggregates,,
31,S3,Caribbean small states,Exports of goods and services (current US$),2020,,Aggregates,Aggregates,Aggregates,,
32,S3,Caribbean small states,Exports of goods and services (current US$),2019,,Aggregates,Aggregates,Aggregates,,
33,S3,Caribbean small states,Exports of goods and services (current US$),2018,,Aggregates,Aggregates,Aggregates,,
34,S3,Caribbean small states,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,Aggregates,,
35,S3,Caribbean small states,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,Aggregates,,
36,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2024,1436116582981.12,Aggregates,Aggregates,Aggregates,,
37,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2023,1425871028490.58,Aggregates,Aggregates,Aggregates,,
38,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2022,1341116044762.76,Aggregates,Aggregates,Aggregates,,
39,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2021,1215863520904.17,Aggregates,Aggregates,Aggregates,,
40,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2020,984787146963.038,Aggregates,Aggregates,Aggregates,,
41,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2019,1040652380558.75,Aggregates,Aggregates,Aggregates,,
42,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2018,1042006159053.72,Aggregates,Aggregates,Aggregates,,
